"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT62F768M32D2DS-020FAUT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D1DS-020 WT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4ZV-026 WT:B","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","End of Life","1Gb x64","1190","14.00 x 12.40 x 0.63","2500","4","COMPONENT","LPDDR5","UFBGA","DRAM"
"MT62F1G64D8EK-031 AAT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2BAD2DS-DC Y5BN","","","","","","","","","","","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","","","DRAM"
"MT62F1DD4EK-DC Y5BN","","","","","","","","","","","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","","","DRAM"
"MT62F1G32D2DS-031RFWT:C","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Contact Sales","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-020FAUT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F2DADBDM-DC X","","","","","","","","","","","1190","14.00 x 12.40 x 0.61","2500","12","COMPONENT","","UFLGA","DRAM"
"MT62F1G64D8CH-031 WT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","Obsolete","1Gb x64","1190","14.00 x 12.40 x 0.77","2500","8","COMPONENT","LPDDR5","WFBGA","DRAM"
"MT62F768M64D4EK-020AAT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020FAIT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-020 AUT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-020AIT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F2DCD4DK-DC X","","","","0.5 VOLTS","","","","","","","1190","14.00 x 12.40 x 0.45","2500","4","COMPONENT","","XFLGA","DRAM"
"MT62F512M32D2DR-031 WT:B","16Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DADBDL-DC X Y52N","","","","","","","","","","","1190","14.00 x 12.40 x 0.51","2500","12","COMPONENT","","","DRAM"
"MT62F2G32D4DS-026 AAT:B","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2EK-020AUT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2CZ-020FAUT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","Production","512Mb x64","1020","8.00 x 12.40 x 1.20","2500","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-020AIT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-020FAIT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2BAD2JZ-DC Y62P","","","","","","","","","","","1020","8.20 x 12.40 x 1.00","3000","2","COMPONENT","","","DRAM"
"MT62F3G32D8DV-020FAIT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F512M64D2EK-020FAAT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2BAD4JZ-DC Y52N","","","","","","","","","","","1020","8.20 x 12.40 x 1.00","3000","4","COMPONENT","","","DRAM"
"MT62F2DAD8ZA-DC Y5BN","","","","0.5 VOLTS","","","","","","","1190","14.00 x 12.40 x 0.71","2500","8","COMPONENT","","WFBGA","DRAM"
