pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KLUEG4RHHD,KLUEG4RHHD-B0G1,KLUEG4RHHD,yes,UFS,UFS 4.0,256GB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 256GB standalone. pn[3]=E → 256GB (SAM_FLASH_CAP). Sufixo HHD = UFS 4.0. ⚠ Grammar KLUEG = UFS 3.1 — KnownPart corrige para UFS 4.0. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-0/klueg4rhhd-b0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUEG4RHHF,KLUEG4RHHF-F0G1,KLUEG4RHHF,yes,UFS,UFS 4.0,256GB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 256GB. Sufixo HHF = UFS 4.0. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-0/klueg4rhhf-f0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUEG4RHUF,KLUEG4RHUF-F0HQ,KLUEG4RHUF,yes,UFS,UFS 4.1,256GB,,,UFS 4.1,,1.8V/1.2V,4200,153,,FBGA,UFS 4.1 Samsung 256GB. Sufixo HUF = UFS 4.1. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-1/klueg4rhuf-f0hq/,Samsung Semiconductor Global,confirmed,enriched
KLUFG4NHHB,KLUFG4NHHB-F0G1,KLUFG4NHHB,yes,UFS,UFS 4.0,512GB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 512GB standalone. pn[3]=F → 512GB (SAM_FLASH_CAP). Sufixo HHB = UFS 4.0. Confirmado semiconductor.samsung.com/us/estorage/ufs/ufs-4-0/klufg4nhhb-f0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUFG8RHHD,KLUFG8RHHD-B0G1,KLUFG8RHHD,yes,UFS,UFS 4.0,512GB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 512GB. Sufixo HHD = UFS 4.0. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-0/klufg8rhhd-b0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUFG8RHHF,KLUFG8RHHF-F0G1,KLUFG8RHHF,yes,UFS,UFS 4.0,512GB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 512GB. Sufixo HHF = UFS 4.0. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-0/klufg8rhhf-f0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUFG8RHUF,KLUFG8RHUF-F0HP,KLUFG8RHUF,yes,UFS,UFS 4.1,512GB,,,UFS 4.1,,1.8V/1.2V,4200,153,,FBGA,UFS 4.1 Samsung 512GB. Sufixo HUF = UFS 4.1. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-1/klufg8rhuf-f0hp/,Samsung Semiconductor Global,confirmed,enriched
KLUGG8NHHB,KLUGG8NHHB-F0G1,KLUGG8NHHB,yes,UFS,UFS 4.0,1TB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 1TB standalone. pn[3]=G → 1TB (SAM_FLASH_CAP). KLUGG = família UFS 4.0 1TB. Sufixo HHB = UFS 4.0. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-0/klugg8nhhb-f0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUGGARHHD,KLUGGARHHD-B0G1,KLUGGARHHD,yes,UFS,UFS 4.0,1TB,,,UFS 4.0,,1.8V/1.2V,4200,153,,FBGA,UFS 4.0 Samsung 1TB. Sufixo HHD = UFS 4.0. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-0/kluggarhhd-b0g1/,Samsung Semiconductor Global,confirmed,enriched
KLUGGARHUF,KLUGGARHUF-F0HQ,KLUGGARHUF,yes,UFS,UFS 4.1,1TB,,,UFS 4.1,,1.8V/1.2V,4200,153,,FBGA,UFS 4.1 Samsung 1TB. Sufixo HUF = UFS 4.1. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-1/kluggarhuf-f0hq/,Samsung Semiconductor Global,confirmed,enriched
KLUFG8RHKF,KLUFG8RHKF-F0H1,KLUFG8RHKF,yes,UFS,UFS 4.1,512GB,,,UFS 4.1,,1.8V/1.2V,4200,153,,FBGA,UFS 4.1 Samsung 512GB standalone. pn[3]=F → 512GB (SAM_FLASH_CAP). Sufixo HKF = UFS 4.1. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-1/klufg8rhkf-f0h1/,Samsung Semiconductor Global,confirmed,enriched
KLUGGGRHKF,KLUGGGRHKF-F0H1,KLUGGGRHKF,yes,UFS,UFS 4.1,1TB,,,UFS 4.1,,1.8V/1.2V,4200,153,,FBGA,UFS 4.1 Samsung 1TB standalone. pn[3]=G → 1TB (SAM_FLASH_CAP). Sufixo HKF = UFS 4.1. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-4-1/klugggrhkf-f0h1/,Samsung Semiconductor Global,confirmed,enriched
