pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K4F8E3S4HBMHCJ,K4F8E3S4HB-MHCJ,K4F8E3S4HBMHCJ,yes,LPDDR4,LPDDR4 Mobile,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,SDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone. Rev B.,Samsung Semiconductor Global,confirmed,enriched
K4F8E3S4HBMFCJ,K4F8E3S4HB-MFCJ,K4F8E3S4HBMFCJ,yes,LPDDR4,LPDDR4 Mobile,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,SDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone. Rev B.,Samsung Semiconductor Global,confirmed,enriched
K4F8E3S4HDGHCL,K4F8E3S4HD-GHCL,K4F8E3S4HDGHCL,yes,LPDDR4,LPDDR4 Mobile,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,SDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone. Rev D.,Samsung Semiconductor Global,confirmed,enriched
K4F8E3S4HDMGCL,K4F8E3S4HD-MGCL,K4F8E3S4HDMGCL,yes,LPDDR4,LPDDR4 Mobile,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,SDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone. Rev D.,Samsung Semiconductor Global,confirmed,enriched
K4F8E3S4HDGFCL,K4F8E3S4HD-GFCL,K4F8E3S4HDGFCL,yes,LPDDR4,LPDDR4 Mobile,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,SDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone. Rev D.,Samsung Semiconductor Global,confirmed,enriched
K4F8E3S4HDGUCL,K4F8E3S4HD-GUCL,K4F8E3S4HDGUCL,yes,LPDDR4,LPDDR4 Mobile,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,SDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone. Rev D.,Samsung Semiconductor Global,confirmed,enriched
K4F6E3S4HMMGCJ,K4F6E3S4HM-MGCJ,K4F6E3S4HMMGCJ,yes,LPDDR4,LPDDR4 Mobile,2GB,16Gb,2GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone.,Samsung Semiconductor Global,confirmed,enriched
K4F6E3S4HMGFCL,K4F6E3S4HM-GFCL,K4F6E3S4HMGFCL,yes,LPDDR4,LPDDR4 Mobile,2GB,16Gb,2GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone.,Samsung Semiconductor Global,confirmed,enriched
K4F6E3S4HMGUCL,K4F6E3S4HM-GUCL,K4F6E3S4HMGUCL,yes,LPDDR4,LPDDR4 Mobile,2GB,16Gb,2GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone.,Samsung Semiconductor Global,confirmed,enriched
K4F6E3S4HMTHCL,K4F6E3S4HM-THCL,K4F6E3S4HMTHCL,yes,LPDDR4,LPDDR4 Mobile,2GB,16Gb,2GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone.,Samsung Semiconductor Global,confirmed,enriched
K4F6E3S4HMGHCL,K4F6E3S4HM-GHCL,K4F6E3S4HMGHCL,yes,LPDDR4,LPDDR4 Mobile,2GB,16Gb,2GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone.,Samsung Semiconductor Global,confirmed,enriched
K4F6E3S4HMTFCL,K4F6E3S4HM-TFCL,K4F6E3S4HMTFCL,yes,LPDDR4,LPDDR4 Mobile,2GB,16Gb,2GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 2nd-gen 10nm-class (gen S). LPDDR4 standalone.,Samsung Semiconductor Global,confirmed,enriched
K4FHE3D4HMMHCJ,K4FHE3D4HM-MHCJ,K4FHE3D4HMMHCJ,yes,LPDDR4,LPDDR4 Mobile,3GB,24Gb,3GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,,,,FBGA,DDP. 3rd-gen 10nm-class (gen D). 24Gb=3GB. ⚠ NÃO confundir com K4FBE3D4 (32Gb=4GB).,Samsung Semiconductor Global,confirmed,enriched
